,cohe,perp,count,cohe_diff,perp_diff
0,-3.1376074383652934,-7.486198800636197,149.0,3.1376074383652934,7.486198800636197
1,-3.767019377806111,-7.372218749335331,102.0,0.6294119394408177,0.11398005130086641
2,-4.695500958868624,-7.383928691398347,89.0,0.9284815810625124,0.011709942063015788
3,-4.571420502754653,-7.081171806554874,80.0,0.12408045611397078,0.30275688484347274
4,-5.105493556524093,-7.13171509120482,80.0,0.5340730537694398,0.05054328464994651
5,-4.913028076305735,-7.158523545309692,83.0,0.19246548021835785,0.02680845410487187
6,-5.721289411409466,-6.999330940550264,66.0,0.8082613351037313,0.1591926047594283
7,-5.933094456499345,-6.992962945182013,53.0,0.21180504508987852,0.006367995368250945
8,-6.773974826571347,-7.000037504346998,62.0,0.8408803700720027,0.007074559164984784
9,-6.900297782984286,-7.021180725648949,67.0,0.1263229564129391,0.021143221301951343
10,-6.468456607775618,-7.013999577276713,66.0,0.4318411752086684,0.007181148372236379
11,-6.850727249349333,-7.024078798002466,65.0,0.38227064157371515,0.010079220725753402
12,-9.061600915923679,-7.029922063169671,69.0,2.2108736665743454,0.005843265167205125
13,-7.024189027944817,-7.155574181653928,73.0,2.0374118879788616,0.12565211848425673
14,-6.703720123418912,-7.260082150790792,81.0,0.3204689045259048,0.104507969136864
15,-6.655440874294865,-7.2676144267967056,74.0,0.048279249124046686,0.007532276005913552
16,-6.8967441946918875,-7.153669339389617,62.0,0.24130332039702207,0.11394508740708886
17,-6.522287965266442,-7.254806908278662,67.0,0.3744562294254452,0.10113756888904568
18,-8.373849657354029,-7.172494333597921,66.0,1.8515616920875866,0.08231257468074116
19,-8.968832540803549,-7.135938253251095,56.0,0.5949828834495197,0.036556080346826114
20,-8.736700657067386,-6.949416337491629,44.0,0.23213188373616234,0.18652191575946642
21,-9.39582123586901,-6.865635649753354,42.0,0.6591205788016232,0.0837806877382743
22,-8.51034422032268,-6.961948032215264,41.0,0.8854770155463303,0.09631238246190943
23,-8.3248183044848,-6.955696861113399,41.0,0.18552591583787859,0.006251171101864905
24,-6.045709196783645,-6.78714070850626,41.0,2.2791091077011556,0.16855615260713908
25,-5.168365863255952,-7.045922828116806,70.0,0.8773433335276932,0.2587821196105464
26,-6.240768682233697,-7.127903780048658,77.0,1.0724028189777455,0.08198095193185218
27,-4.377049710958991,-7.249590376964623,90.0,1.8637189712747064,0.12168659691596417
28,-3.827800049368756,-7.219067718702661,90.0,0.5492496615902347,0.030522658261961766
29,-4.57809683326792,-7.133987924843675,93.0,0.7502967838991639,0.08507979385898601
30,-3.9424538208056217,-7.178629685605965,102.0,0.6356430124622983,0.044641760762289984
31,-4.030459614928199,-7.158083354722671,105.0,0.08800579412257692,0.020546330883293606
32,-5.9866683524335755,-7.153009098158862,82.0,1.956208737505377,0.005074256563808888
33,-6.680608813756398,-7.125739664184075,75.0,0.6939404613228222,0.027269433974787205
34,-7.115633618899346,-7.279352703808688,76.0,0.43502480514294817,0.15361303962461292
35,-5.3447533609601985,-7.23408517861861,71.0,1.7708802579391474,0.04526752519007804
36,-6.424395172426919,-7.170339831035159,64.0,1.0796418114667201,0.06374534758345085
37,-5.963974309555804,-7.128465847852124,67.0,0.46042086287111417,0.04187398318303526
38,-6.101962515366167,-7.251551625793612,68.0,0.13798820581036253,0.12308577794148778
39,-6.2915894039804074,-7.194290133261672,62.0,0.18962688861424049,0.05726149253193924
40,-6.510956205949341,-7.251409460014033,65.0,0.21936680196893388,0.05711932675236042
41,-6.178454657777379,-7.122392306171059,61.0,0.33250154817196265,0.12901715384297407
42,-4.876716459929823,-7.028315714479252,59.0,1.3017381978475555,0.09407659169180693
43,-5.778103672292556,-7.139256843559133,59.0,0.9013872123627324,0.1109411290798814
44,-6.612032624188853,-7.147209044027929,57.0,0.8339289518962971,0.007952200468795745
45,-7.242187956853929,-7.110607408076094,55.0,0.6301553326650762,0.0366016359518353
46,-6.737303617273686,-7.041583820181793,63.0,0.5048843395802427,0.06902358789430085
